query_bgc	target_gene_cluster_y	pident_mean	pident_median	pident_count	levenshtein_include_internal_nonortholog	levenshtein_only_orthologs	percent_of_query	jaccard	modscore	score	target_nucleotide_sequence	target_assembly	assembly	genus	species	family	order	class	phylum	superkingdom	start	end
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421d27ac510>	100.0	100.0	5	1.0	1.0	100	1.0	3.0	818.0	BGC0000946	BGC0000946	BGC0000946	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	283	7531
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421ab62f410>	99.6	99.5	5	1.0	1.0	100	1.0	3.0	818.0	NZ_JACXJH010000039.1	GCF_014705665.1	GCF_014705665.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	51006	96169
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421c39c2610>	99.64	99.5	5	1.0	1.0	100	1.0	3.0	818.0	NZ_QRRY01000003.1	GCF_006382855.1	GCF_006382855.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	207705	252868
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x74218ae61c90>	99.64	99.5	5	1.0	1.0	100	1.0	3.0	818.0	NZ_CAJOAR010000003.1	GCF_905331995.1	GCF_905331995.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	207705	252868
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421a5e9c450>	99.64	99.5	5	1.0	1.0	100	1.0	3.0	818.0	NZ_JAHXRT010000002.1	GCF_019429585.1	GCF_019429585.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	300686	345850
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421a229ed90>	98.47999999999999	99.0	5	1.0	1.0	100	1.0	3.0	811.0	NZ_JALAZA010000005.1	GCF_022603315.1	GCF_022603315.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	197475	242632
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421c02d4c90>	98.47999999999999	99.0	5	1.0	1.0	100	1.0	3.0	812.0	NZ_MITV01000087.1	GCF_001728325.1	GCF_001728325.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	199997	244551
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421a321c910>	98.67999999999999	99.0	5	1.0	1.0	100	1.0	3.0	812.0	NZ_JAHRDB010000002.1	GCF_021890335.1	GCF_021890335.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	196716	241858
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421b53c17d0>	98.67999999999999	99.0	5	1.0	1.0	100	1.0	3.0	812.0	NZ_NNEO01000009.1	GCF_006369365.1	GCF_006369365.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	34103	79261
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x74218ae3c390>	98.64	98.9	5	1.0	1.0	100	1.0	3.0	811.0	NZ_CAJOAM010000020.1	GCF_905331945.1	GCF_905331945.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	29367	74699
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421cff03bd0>	98.64	98.9	5	1.0	1.0	100	1.0	3.0	811.0	NZ_AWIS01000010.1	GCF_000489775.1	GCF_000489775.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	1	44336
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421cff22fd0>	98.64	98.9	5	1.0	1.0	100	1.0	3.0	811.0	NZ_AWIW01000001.1	GCF_000489855.1	GCF_000489855.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	1	33305
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421cfc45c90>	98.64	98.9	5	1.0	1.0	100	1.0	3.0	811.0	NZ_AWLG01000101.1	GCF_000491075.1	GCF_000491075.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	1	17039
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421cfc51450>	98.64	98.9	5	1.0	1.0	100	1.0	3.0	811.0	NZ_AWLI01000001.1	GCF_000491115.1	GCF_000491115.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	67822	113154
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421b542d990>	98.58	98.8	5	1.0	1.0	100	1.0	3.0	811.0	NZ_NNET01000026.1	GCF_006369645.1	GCF_006369645.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	17202	62357
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x74219e1dc690>	98.5	98.8	5	1.0	1.0	100	1.0	3.0	813.0	NZ_JAODVT010000007.1	GCF_026162545.1	GCF_026162545.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	112031	157183
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x74219c75e250>	98.38	98.8	5	1.0	1.0	100	1.0	3.0	811.0	NZ_JAQBKZ010000003.1	GCF_028617325.1	GCF_028617325.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	193197	238530
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x74218b3f9ad0>	98.12	98.8	5	1.0	1.0	100	1.0	3.0	810.0	NZ_CAJDZF010000004.1	GCF_903986745.1	GCF_903986745.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	146746	191895
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421cfd25cd0>	98.52000000000001	98.8	5	1.0	1.0	100	1.0	3.0	810.0	NZ_AWMU01000096.1	GCF_000491875.1	GCF_000491875.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	1	17410
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x74218aaf8210>	98.5	98.8	5	1.0	1.0	100	1.0	3.0	810.0	NZ_CAMFHK010000011.1	GCF_945952135.1	GCF_945952135.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	49370	94509
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421a211d3d0>	98.12	98.8	5	1.0	1.0	100	1.0	3.0	810.0	NZ_JAESOW010000002.1	GCF_022802125.1	GCF_022802125.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	60073	105224
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x74219c79e9d0>	98.38	98.8	5	1.0	1.0	100	1.0	3.0	811.0	NZ_JAQBLH010000006.1	GCF_028617515.1	GCF_028617515.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	3683	49016
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x742198f69dd0>	98.53999999999999	98.8	5	1.0	1.0	100	1.0	3.0	809.0	NZ_JAUHGC010000001.1	GCF_031703585.1	GCF_031703585.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	196871	242045
